Place	latitude	longitude
bab elmandeb strait	12.60416	43.33557
djibouti	11.83333	42.5
southern red sea	21.28937	78.66211
africa cape of good hope	18.31281	-4.83398
gretna	41.14083	-96.23974
louisiana	31.00047	-92.0004
new orleans	29.95465	-90.07507
france	46	2
kan	12.00012	8.51672
almawasi district	14.3656	44.7778
mediterranean	35.78	19.33
africa	7.1881	21.09375
jenin	32.45943	35.30086
russia	60	100
canada	60.10867	-113.64258
alaska	64.00028	-150.00028
mexico	23	-102
south america	-14.60485	-57.65625
golan heights	32.90485	35.80725
crimea	45	34
south china sea	51.53782	0.71433
philippines	13.40882	122.56155
vietnam	16.16667	107.83333
pakistan	30	70
kashmir	30.33315	63.19089
new delhi	28.62137	77.2148
islamabad	33.72148	73.04329
darby nakba	46.0227	-114.17814
hebron	31.52935	35.0938
lama khater	9.55111	1.18611
kiryat arba	33.20733	35.57212
bureij	31.43944	34.40306
belgium	50.75	4.5
mediterranean sea	35.78	19.33
ajaq	35.64005	48.84628
silwad	31.97625	35.2613
cairo	30.06263	31.24967
australia	-25	135
denmark	56	10
new zealand	-42	174
south korea	36.5	127.75
norway	62	10
hamas	51.68033	7.82089
yaroun	33.08028	35.4225
lebanon nabatieh	37.83451	-85.7319
yiron	33.07757	35.4546
avivim	33.08892	35.47228
israel goren	41.68181	-70.27889
shatila	42.65879	45.15632
dc	38.91706	-77.00025
doha	25.28545	51.53096
lisbon	38.71667	-9.13333
portugal	39.6945	-8.13057
walla	-2.85662	33.32102
somalia	6	48
yemen red sea	12.79891	45.03313
yemen coast	12.79891	45.03313
seychelles	-4.58333	55.66667
north africa	32.95337	9.97559
marib	15.6213	46.0111
khreis	25.05944	48.06389
northern gaza	54.77535	-105.64453
hong kong	22.27832	114.17469
bolivia	-17	-65
bangladesh	24	90
comoros	-12.23333	44.44553
myanmar	21	96
erbil	36.19117	44.00943
pakistan balochistan province	41.22825	33.15674
iran sistanbaluchestan province	32	53
afghanistan	33	66
rask	29.49114	57.18543
strait of hormuz	26.56667	56.25
persian gulf	27	51
balochistan	28.47849	65.64355
la france	45.20507	5.74629
entebbe	0.05621	32.47949
uganda	1.25	32.5
montreal	45.50884	-73.58781
milton ontario	52.04172	-0.75583
jabalia	31.5272	34.48347
ottawa	45.41117	-75.69812
toronto	43.70643	-79.39864
calgary	51.05011	-114.08529
new york	40.71427	-74.00597
belarus	53	28
munich	48.13743	11.57549
haifa	32.81841	34.9885
sidon	33.55751	35.37148
salameh	34.74384	59.97553
gaza deir elbalah	35.65832	65.18016
deir albalah	31.41834	34.34933
islamic republic	32	53
nur shams	51.1801	71.44598
tulkarem	32.31156	35.0269
naqoura	33.11806	35.13972
america	26.0173	-104.41406
el arish	31.13159	33.79844
al jazeera	14.6	33.35
beirut shatila	33.89332	35.50157
hamra	31.81088	-8.27151
east beirutis	19.38333	-71.21667
east beirut	37.02332	-77.36954
austria	47.33333	13.33333
finland	64	26
iceland	65	-18
romania	46	25
melbourne australia	-37.67333	144.84333
melbourne	-37.814	144.96332
sandridge beach	-37.83931	144.91747
zim ganges	45.06873	-83.54131
sydney	-33.86785	151.20732
brisbane	-27.46794	153.02809
middle east eye	33.13906	35.85869
near east	17.97421	-76.80663
kyiv	50.45466	30.5238
aqaba	29.52667	35.00778
marshall islands	7.113	171.236
aden	12.77944	45.03667
sabra	34.83042	-1.547
khan yunis	31.34018	34.30627
mawasi	32.48133	68.85529
wadi gaza	15	21.5
bosnia	44	18
sri lanka	7.75	80.75
republic of south africa	7	21
columbia	4	-73.25
chile	-30	-71
santiago	-33.45694	-70.64827
taiz province	13.5	44
ashdod	31.79213	34.64966
x	19.22364	-70.53051
spain	40	-4
madrid	40.4165	-3.70256
oman	21	57
charleston	32.77632	-79.93275
geneva	46.20222	6.14569
beirutis	31.54907	34.47669
serbia	44.81892	20.45998
srebrenica	44.10748	19.29669
bani suheila	31.34337	34.32337
caesarea	38.73222	35.48528
kefar sava	32.175	34.90694
rehovot	31.89421	34.81199
beersheba	31.25181	34.7913
kiryat shmona	33.20733	35.57212
blue line	40.88291	-123.98395
baghdad	33.34058	44.40088
middle eastern	33.13906	35.85869
welch	30.23604	-92.82265
global south	-34.98943	138.51674
beit lahiya	31.5464	34.49514
el amal city hospital	32.893	0.54839
maroun el ras	33.10381	35.4444
miraj	16.8671	74.70146
tal alhawa	-36.72494	-73.11684
gisha	-1.744	29.9586
bani naim	15.88333	43.78333
raanana	32.1836	34.87386
sderot	31.525	34.59693
nir am	31.51959	34.58006
mefalsim	31.50125	34.5637
hanita	33.08746	35.17364
mattat	33.04134	35.35858
adamit	33.07971	35.21103
zarit	33.09955	35.2889
malkia	60.75482	24.06197
herzegovina	43	17.83333
montenegro	42.75	19.25
yugoslavia	44	19.75
moscow	55.75222	37.61556
pretoria	-25.74486	28.18783
mozambique	-18.25	35
bulgaria	42.66667	25.25
shadi	34.84836	60.42347
ebel elsaqi	33.35667	35.62639
panjgur	26.75	64
sistanbaluchestan province	28.5	60.5
ocean jazz	-10	70
cape of good hope	37.52777	-108.02785
gilo	-7.45	-40.83333
har gilo	31.72119	35.1724
singapore	1.36667	103.8
