Place	Latitude	Longitude
Brisbane	-27.46794	153.02809
Hodeidah	14.79781	42.95452
Saada	16.94021	43.76393
Taiz	13.57952	44.02091
Hajjah	15.69425	43.60582
Canada	60.10867	-113.64258
Kuala Lumpur	3.1412	101.68653
Malaysia	2.5	112.5
Indonesia	-5	120
Jakarta	-6.21462	106.84513
London	51.50853	-0.12574
Paris	48.85341	2.3488
Vienna	48.20849	16.37208
Berlin	52.52437	13.41053
Amman	31.95522	35.94503
Washington DC	47.50012	-120.50147
Manchester	42.99564	-71.45479
Hyderabad	17.38405	78.45636
Colombo Kollupitiya	-76.51667	-144.73333
Singapore	1.36667	103.8
Welch	30.23604	-92.82265
Sudan	16	30
IsraelPalestine	NA	NA
La France	45.20507	5.74629
Namibia	-22	17
Palestinian Territories	31.92157	35.20329
Sweden	62	15
Kyiv	50.45466	30.5238
Netivot	31.42305	34.58911
Hamas	51.68033	7.82089
Morocco	28.5	-10
Rabat	34.01325	-6.83255
Western Sahara	10.01211	105.83224
Algeria	28	3
Marrakesh	31.63416	-7.99994
Maghreb	30	5
Malta	35.91667	14.43333
Gulf of Oman	8.5	79
Davos	46.80429	9.83723
Switzerland	47.00016	8.01427
alMawasi district	14.3656	44.7778
Yemen coast	12.79891	45.03313
Jenin	32.45943	35.30086
Abwein	32.03144	35.19992
Nablus	32.22111	35.25444
Hebron	31.52935	35.0938
Qalqilya	32.18583	35.06583
Jericho	31.86667	35.45
Bab elMandeb strait	12.60416	43.33557
Southern Red Sea	21.28937	78.66211
Africa Cape of Good Hope	18.31281	-4.83398
France	46	2
Spain	40	-4
Seychelles	-4.58333	55.66667
North Africa	32.95337	9.97559
Marib	15.6213	46.0111
Gretna	41.14083	-96.23974
Louisiana	31.00047	-92.0004
New Orleans	29.95465	-90.07507
MirandaCleland	NA	NA
New Delhi	28.62137	77.2148
India Basmati	22	79
North America	46.07323	-100.54688
Arabian Sea	25	45
Karem Abu Salem	30.486	31.60823
Kerem Shalom	31.22777	34.28459
Salem	44.9429	-123.0351
Copenhagen	55.67594	12.56553
California	37.25022	-119.75126
Gulf	-7.7246	145.08545
Netanyahu	NA	NA
Kerman	30.28321	57.07879
Zeitoun	34.06222	35.68528
Shujayea	31.5069	34.4650
Chile	-30	-71
Mexico	23	-102
Santiago	-33.45694	-70.64827
Dearborn	42.32226	-83.17631
Michigan	44.25029	-85.50033
Chicago	41.85003	-87.65005
New York	40.71427	-74.00597
Belarus	53	28
Haifa	32.81841	34.9885
Nur Shams	51.1801	71.44598
Tulkarem	32.31156	35.0269
Naqoura	33.11806	35.13972
alMazraa	33.4775	36.2950
Mediterranean Sea	35.78	19.33
Ajaq	35.64005	48.84628
Silwad	31.97625	35.2613
Mackinac Island	43.68897	-70.2331
Great Lakes	26.50687	127.94581
Lake Michigan	44.00778	-86.75698
Texas	31.25044	-99.25061
Beit Nabala	31.5464	34.49514
Idlib	35.93062	36.63393
Erbil	36.19117	44.00943
Maroun El Ras	33.10381	35.4444
Yaroun	33.08028	35.4225
Rmeish	NA	NA
Miraj	16.8671	74.70146
Tal alHawa	-36.72494	-73.11684
zarahsultana	NA	NA
Gisha	-1.744	29.9586
Bani Naim	15.88333	43.78333
Raanana	32.1836	34.87386
Strait of Hormuz	26.56667	56.25
Sderot	31.525	34.59693
Nir Am	31.51959	34.58006
Mefalsim	31.50125	34.5637
Hanita	33.08746	35.17364
Mattat	33.04134	35.35858
Margaliot	NA	NA
Adamit	33.07971	35.21103
Zarit	33.09955	35.2889
Malkia	60.75482	24.06197
Area C	-25.55132	-54.61622
Bosnia	44	18
Herzegovina	43	17.83333
Serbia	44.81892	20.45998
Montenegro	42.75	19.25
Yugoslavia	44	19.75
Detroit	42.33143	-83.04575
Southeast Michigan	43.96102	-83.71087
Arab America	25	45
Jarrah	24.05	54.1
Wayne County	-36.75	175
Minnesota	46.25024	-94.25055
Syria Damascus	33.26954	35.19626
Mazzeh	NA	NA
Borj el Barajneh	33.84347	35.49874
West Beirut	51.48653	-0.40583
Beirut Hamra	33.89332	35.50157
Hamra	31.81088	-8.27151
West Beirutis	19.38333	-71.21667
Dabbouch	NA	NA
East Beirut	37.02332	-77.36954
Jabalia	31.5272	34.48347
Kampala	0.31628	32.58219
Lisbon	38.71667	-9.13333
Portugal	39.6945	-8.13057
BabelMandeb Strait	6.8127	122.0236
Dhamar	14.54274	44.40514
alBayda	18.86139	42.07078
Beit Lahiya	31.5464	34.49514
alSaftawi	NA	NA
Maldives	3.2	73
Pakistan	30	70
Columbia	4	-73.25
Middle East Eye	33.13906	35.85869
Near East	17.97421	-76.80663
Farhana	NA	NA
Abudaqa	NA	NA
Geneva	46.20222	6.14569
AlAqsa	NA	NA
Ankara	39.91987	32.85427
Des Moines	41.60054	-93.60911
Iowa	42.00027	-93.50049
Tunisia	34	9
Cedar Rapids	42.00833	-91.64407
Iowa City	41.66113	-91.53017
South Asia	21.28937	78.66211
Florida	28.75054	-82.5001
New York Ellis Island	40.71427	-74.00597
Ohio	40.25034	-83.00018
Istanbul	41.01384	28.94966
Crete	35.15585	24.89502
Marshall Islands	7.113	171.236
Aden	12.77944	45.03667
Philippines	13.40882	122.56155
Japan	35.68536	139.75309
Bani Suheila	31.34337	34.32337
alFukhari	NA	NA
X Spain	-3.35	137.75
Madrid	40.4165	-3.70256
Belgium	50.75	4.5
Denmark	56	10
Oman	21	57
Jordan River	31	36
Ebel elSaqi	33.35667	35.62639
Rohtak	28.89447	76.58917
Haryana	29.25	76.33333
Uttar Pradesh	27.25	80.75
Lucknow	26.83928	80.92313
UP	43.62841	6.22477
Bihar	25.75	85.75
West Bengal	19.38333	-71.21667
Benarasiyaa	NA	NA
Haryana Panipat	29.25	76.33333
Thailand	15.5	101
Haryana Jind	29.25	76.33333
Pakistan Balochistan province	41.22825	33.15674
Iran SistanBaluchestan province	32	53
Rask	29.49114	57.18543
SistanBaluchestan	NA	NA
Persian Gulf	27	51
Balochistan	28.47849	65.64355
Eurasia	87	80
Heliopolis	36.50361	7.44278
alFawakhir	NA	NA
Levant	34	36
Mecca	21.42664	39.82563
AlMasjid alOmari alKabir	35.13444	36.74545
Byzantium	41.01384	28.94966
Via Maris	47.87844	27.16671
Anthedon	38.49842	23.44886
Balakhiyah	NA	NA
Tida	31.24415	30.83845
Tell elAjjul	36.53984	40.61373
Calves Hill	42.27426	-71.32284
Cyprus	35.00304	32.98791
Daraj	33.24567	59.54541
Ahmadiyyah Zawiya	NA	NA
Sabra	34.83042	-1.547
Shatila	42.65879	45.15632
Taiz province	13.5	44
AlBayda	18.86139	42.07078
majedalansari	NA	NA
Kan	12.00012	8.51672
Al Rayyan	25.29194	51.42444
Bethlehem	40.62593	-75.37046
Nairoukh	NA	NA
Shawawra	NA	NA
El Amal City Hospital	32.893	0.54839
NaksBilal	NA	NA
Caesarea	38.73222	35.48528
Dura	28.8	49.23333
Khan Yunis	31.34018	34.30627
Mawasi	32.48133	68.85529
New Zealand	-42	174
South Korea	36.5	127.75
Houthi	NA	NA
Aleppo	36.20124	37.16117
Syria Golan Heights	35	38
Kurdistan	37	44
Panjgur Pakistan Balochistan province	48.11313	16.86215
Bureij	31.43944	34.40306
Aizawl	23.72894	92.71791
Manipur	25	94
Kangpokpi	25.15114	93.9695
Mizoram	23	93
Kingdom of Judah	20.75028	-156.50028
Bnei Menashe	32.08074	34.8338
Kolasib	24.22388	92.67869
Cameroon	6	12.5
alAhli	NA	NA
Zawayda	31.4333	34.3833
Beit Hanoon	31.5353	34.53579
Egypt Sinai Peninsula	31.19518	29.90976
Philadelphi	31.2167	34.2833
MoTaz	NA	NA
azaizamotaz9	NA	NA
AlFukhari	31.3400	34.3063
Earth	0	0
alKarama	31.9552	35.9450
Finland	64	26
Scotland	56	-4
Ireland	53	-8
Ottawa	45.41117	-75.69812
October7	NA	NA
BabelMandeb strait	6.8127	122.0236
Eilat	29.55805	34.94821
Ashdod	31.79213	34.64966
Dead Sea	44.86777	-73.62391
Eastern Mediterranean region	39.42657	41.23464
Dahiyeh	33.8500	35.4833
Aroura	38.92219	-111.93409
alArouri	NA	NA
Austria	47.33333	13.33333
Czech Republic	49.75	15
Hungary	47	20
Slovenia	46.08333	15
Brussels	50.85045	4.34878
carogennez	NA	NA
Flanders	51	4.5
Wallonia	50.5	4.75
Thameen Darby	NA	NA
Nakba Layer	NA	NA
Mercator	NA	NA
Alaska	64.00028	-150.00028
South America	-14.60485	-57.65625
AsiaPacific	NA	NA
Golan Heights	32.90485	35.80725
Crimea	45	34
South China Sea	51.53782	0.71433
Vietnam	16.16667	107.83333
Kashmir	30.33315	63.19089
Islamabad	33.72148	73.04329
Darby Nakba	46.0227	-114.17814
Kefar Sava	32.175	34.90694
Rehovot	31.89421	34.81199
Beersheba	31.25181	34.7913
Libya	28	17
Rwanda	-2	30
East Timor	-8.83333	125.75
Kabul	34.52813	69.17233
azZahra	19.11437	41.91694
Hamad	31.40307	48.45684
State of Qatar	25.5	51.25
QFFD	NA	NA
Montreal	45.50884	-73.58781
Milton Ontario	52.04172	-0.75583
Toronto	43.70643	-79.39864
Calgary	51.05011	-114.08529
Paltel	32.08712	35.18388
Jawwal	NA	NA
alAmal	31.39064	37.3146
alNasser	NA	NA
alMawasi	NA	NA
alKatiba	NA	NA
Basel	47.55839	7.57327
Bern	46.94809	7.44744
Zurich	47.36667	8.55
RepJayapal	NA	NA
RepCori	NA	NA
BasedMikeLee	NA	NA
Republic of Korea	24	121
Kosovo	42.58333	20.91667
Panjgur	26.75	64
SistanBaluchestan province	28.5	60.5
Kiryat Shmona	33.20733	35.57212
Blue Line	40.88291	-123.98395
BosniaHerzegovina	44	18
Srebrenica	44.10748	19.29669
League of Arab States	29.75634	-94.97187
Dubai	25.07725	55.30927
Bab alMandeb	12.60416	43.33557
Yemen southern coast	12.79891	45.03313
Palestine_UN	NA	NA
Entebbe Uganda	0.04239	32.4435
Sierra Leone	8.5	-11.5
DRC	-17.98192	20.76806
adoniaayebare	NA	NA
Ansarallah	NA	NA
Hezbollah	29.8628	56.8848
Arura	9.8694	76.30498
Deir Qaddis	35.33588	40.14084
Silicon Valley	37.37	-122.04
Beit Shemesh	31.73072	34.99293
Santa Clara	22.40694	-79.96472
Moldova	47.25	28.58333
Sri Lanka	7.75	80.75
Mozambique	-18.25	35
Bulgaria	42.66667	25.25
Romania	46	25
Hebrew	NA	NA
Supernova	NA	NA
Dena	28.44289	90.28327
Oakland	37.80437	-122.2708
Al Jazeera	14.6	33.35
Walla	-2.85662	33.32102
Dahiya	8.0264	80.533
Jamaa Islamiya	35.46804	-5.70106
Bab al	35.26943	69.68085
Mandeb Strait	4	100
Iceland	65	-18
Ras Issa	34.11528	35.72278
Hodeidah province	20.75	-75.91667
West Jerusalem	31.78199	35.21961
Hamoud	15.64004	-11.51864
Taalbaya	NA	NA
Rashidiya	25.22499	55.38947
Sidon	33.55751	35.37148
alWalaja	31.7333	5.1667
Gilo	-7.45	-40.83333
Har Gilo	31.72119	35.1724
alMahatta	NA	NA
alMazraa Asharqiya	33.4775	36.2950
Harvey	41.61003	-87.64671
Tawfiq	33.01842	44.38071
alMughraqa	31.5000	34.4667
alMaghazi	31.4223	34.3850
Maghazi Roads	43.84258	-68.88115
Deir alBalah	31.41834	34.34933
Venezuela	8	-66
Hormuz	27.5026	54.2839
Arabian Gulf	26.35058	50.16805
Kanaker	40.22302	44.53986
Sarit	35.47569	71.45229
Lama Khater	9.55111	1.18611
Kiryat Arba	33.20733	35.57212
Estonia	59	26
Republic of South Africa	7	21
Bahaa elDin Abu Ras	33.53699	36.31307
Bahaa	NA	NA
Akrotiri	36.35796	25.3976
Limassol	34.68406	33.03794
Pashias	NA	NA
Anadolu	39	35
Nevatim	31.22417	34.88098
Republic of Cyprus	24	121
Dhekelia	35.01667	33.775
Ocean Jazz	-10	70
alTanf	NA	NA
Hashemite Kingdom of Jordan	31	36
Entebbe	0.05621	32.47949
Israel Haifa	41.68181	-70.27889
Shadi	34.84836	60.42347
Munich	48.13743	11.57549
Salameh	34.74384	59.97553
Somalia	6	48
Yemen Red Sea	12.79891	45.03313
Lebanon Nabatieh	37.83451	-85.7319
Yiron	33.07757	35.4546
Avivim	33.08892	35.47228
Israel Goren	41.68181	-70.27889
Syria Aleppo	33.26954	35.19626
Mariupol	47.09514	37.54131
Ein alHilweh	32.62899	34.94483
Ofer	32.62257	34.98302
Jordan Valley	42.97404	-117.0543
Kadri	3.34322	30.99265
alJiftlik	NA	NA
Farsiya	35.95584	42.96643
Makhoul	33.40788	37.3558
Tubas	32.32091	35.36989
Areas A	-16.39889	-71.535
alShifa	31.5260	34.4440
Al Maniya	41	20
Charleston	32.77632	-79.93275
Rawaa	NA	NA
Beirut Shatila	33.82093	35.48839
Peru	-10	-75.25
Colombia	4	-73.25
South Sudan	7.5	30
Swaziland	-26.5	31.5
